,Date,Open,High,Low,Close,Volume,Adj_Close
2022-12-29 09:05:00,1672315500000,16603.4,16605.7,16603.3,16605.7,98.816,16605.70
2022-12-29 09:06:00,1672315560000,16605.6,16608.4,16605.6,16608.4,93.829,16608.40
2022-12-29 09:07:00,1672315620000,16608.3,16611.6,16608.3,16611.6,113.854,16611.60
2022-12-29 09:08:00,1672315680000,16611.6,16612.0,16603.6,16603.6,349.101,16603.60
2022-12-29 09:09:00,1672315740000,16603.5,16603.6,16594.4,16594.5,211.729,16594.50
2022-12-29 09:10:00,1672315800000,16594.5,16595.7,16594.5,16594.7,209.982,16594.70
2022-12-29 09:11:00,1672315860000,16594.6,16599.5,16594.6,16596.3,121.615,16596.30
2022-12-29 09:12:00,1672315920000,16596.4,16598.2,16596.3,16598.2,52.453,16598.20
2022-12-29 09:13:00,1672315980000,16598.1,16598.3,16598.0,16598.0,40.253,16598.00
2022-12-29 09:14:00,1672316040000,16598.1,16598.1,16598.0,16598.1,22.386,16598.10
2022-12-29 09:15:00,1672316100000,16598.0,16598.1,16596.7,16596.7,42.437,16596.70
2022-12-29 09:16:00,1672316160000,16596.8,16598.0,16593.8,16593.8,155.4,16593.80
2022-12-29 09:17:00,1672316220000,16593.8,16593.8,16593.3,16593.3,66.811,16593.30
2022-12-29 09:18:00,1672316280000,16593.4,16593.4,16593.3,16593.3,45.079,16593.30
2022-12-29 09:19:00,1672316340000,16593.4,16593.4,16592.8,16592.8,53.298,16592.80
2022-12-29 09:20:00,1672316400000,16592.9,16592.9,16592.4,16592.4,46.549,16592.40
2022-12-29 09:21:00,1672316460000,16592.4,16599.6,16592.4,16595.6,183.434,16595.60
2022-12-29 09:22:00,1672316520000,16595.7,16595.7,16590.6,16595.0,179.024,16595.00
2022-12-29 09:23:00,1672316580000,16595.1,16595.5,16595.0,16595.1,97.722,16595.10
2022-12-29 09:24:00,1672316640000,16595.0,16595.1,16595.0,16595.0,21.301,16595.00
2022-12-29 09:25:00,1672316700000,16595.0,16595.1,16595.0,16595.1,51.653,16595.10
2022-12-29 09:26:00,1672316760000,16595.0,16596.5,16595.0,16596.5,37.594,16596.50
2022-12-29 09:27:00,1672316820000,16596.4,16596.5,16596.4,16596.4,32.152,16596.40
2022-12-29 09:28:00,1672316880000,16596.5,16596.5,16588.0,16588.0,149.928,16588.00
2022-12-29 09:29:00,1672316940000,16588.0,16588.6,16584.0,16588.4,406.996,16588.40
2022-12-29 09:30:00,1672317000000,16588.3,16590.0,16587.3,16588.5,124.131,16588.50
2022-12-29 09:31:00,1672317060000,16588.5,16590.1,16587.1,16590.1,88.851,16590.10
2022-12-29 09:32:00,1672317120000,16590.1,16600.0,16590.1,16596.2,198.853,16596.20
2022-12-29 09:33:00,1672317180000,16596.3,16597.4,16595.4,16595.5,146.189,16595.50
2022-12-29 09:34:00,1672317240000,16595.4,16595.5,16593.9,16593.9,64.706,16593.90
2022-12-29 09:35:00,1672317300000,16594.0,16594.8,16593.9,16594.8,31.493,16594.80
2022-12-29 09:36:00,1672317360000,16594.7,16599.7,16594.7,16599.7,68.709,16599.70
2022-12-29 09:37:00,1672317420000,16599.6,16599.7,16599.5,16599.5,77.277,16599.50
2022-12-29 09:38:00,1672317480000,16599.6,16599.6,16594.7,16594.8,84.284,16594.80
